Location,Latitude,Mode,Optimal_Tilt,Latitude_Tilt,Difference,Optimal_Yield_kWh,Lat_Yield_kWh,Improvement_%
Equator (Pontianak),0.0,Irradiance,2,0.0,2.0,316.13,N/A,N/A
Equator (Pontianak),0.0,Electrical,2,0.0,2.0,316.13,315.97,0.05
Tropical (Darwin),-12.46,Irradiance,9,12.5,-3.5,314.52,N/A,N/A
Tropical (Darwin),-12.46,Electrical,10,12.5,-2.5,314.55,314.28,0.08
Subtropical (Brisbane),-27.47,Irradiance,23,27.5,-4.5,313.45,N/A,N/A
Subtropical (Brisbane),-27.47,Electrical,24,27.5,-3.5,313.5,313.04,0.15
Mid-Latitude (Perth),-32.05,Irradiance,27,32.0,-5.0,309.34,N/A,N/A
Mid-Latitude (Perth),-32.05,Electrical,28,32.0,-4.0,309.38,308.76,0.2
High Mid-Lat (Melbourne),-37.81,Irradiance,32,37.8,-5.8,303.06,N/A,N/A
High Mid-Lat (Melbourne),-37.81,Electrical,33,37.8,-4.8,303.09,302.16,0.31
