ANNUAL SUMMARY STATS
Metric,Value
Annual_GHI_Total_kWh_m2,2317.100163914222
Annual_DNI_Total_kWh_m2,3270.028613291957
Annual_I_Horizontal_kWh_m2,2317.100163914222
Annual_I_1Axis_Azimuth_kWh_m2,3262.147218377725
Annual_I_1Axis_Elevation_kWh_m2,2479.3311515752875
Annual_I_2Axis_kWh_m2,3568.9519303635348
Annual_Yield_Horizontal_kWh_m2,280.507155408303
Annual_Yield_1Axis_Azimuth_kWh_m2,398.81473718453293
Annual_Yield_1Axis_Elevation_kWh_m2,298.2838427976859
Annual_Yield_2Axis_kWh_m2,434.3923927131711
Annual_Loss_Ang_Horiz_kWh_m2,83.83431963437027
Annual_Loss_Ang_1Axis_Az_kWh_m2,8.878938755922281
Annual_Loss_Ang_1Axis_El_kWh_m2,72.17878429959755
Annual_Loss_Ang_2Axis_kWh_m2,0.0
Annual_Loss_Therm_Horiz_kWh_m2,32.150062790876206
Annual_Loss_Therm_1Axis_Az_kWh_m2,56.64282196251959
Annual_Loss_Therm_1Axis_El_kWh_m2,38.717488620910764
Annual_Loss_Therm_2Axis_kWh_m2,65.26087753772387
Ratio_Yield_Horizontal_vs_2Axis_Percent,64.57460123928128
Ratio_Yield_1Axis_Azimuth_vs_2Axis_Percent,91.80978854016672
Ratio_Yield_1Axis_Elevation_vs_2Axis_Percent,68.66691217464354

HOURLY DATA
Day,Hour,Declination_deg,HourAngle_deg,Elevation_deg,Azimuth_deg,DNI_W_m2,GHI_W_m2,I_Horizontal_W_m2,I_1Axis_Azimuth_W_m2,I_1Axis_Elevation_W_m2,I_2Axis_W_m2,P_Horizontal_W_m2,P_1Axis_Azimuth_W_m2,P_1Axis_Elevation_W_m2,P_2Axis_W_m2,Loss_Ang_Horiz_W_m2,Loss_Ang_1Axis_Az_W_m2,Loss_Ang_1Axis_El_W_m2,Loss_Ang_2Axis_W_m2,Loss_Therm_Horiz_W_m2,Loss_Therm_1Axis_Az_W_m2,Loss_Therm_1Axis_El_W_m2,Loss_Therm_2Axis_W_m2
1,6,-23.011636727869238,95.01171832891377,8.006861429742452,112.19051668705708,454.2678464725613,88.42193097701718,88.42193097701718,316.92050142294863,21.93497477671483,476.20282124927616,6.894401276554452,41.58389899918236,0.0,62.20387778776008,38.83036522075337,6.3267737228552505,21.93497477671483,0,0.04841792932248268,1.8992228788307202,0.0,4.464517187138597
1,7,-23.011636727869238,80.01171832891377,20.044925315953236,105.21975767098307,822.528404582077,327.4586614232885,327.4586614232885,696.0518612216275,52.0908090595223,874.6192136415993,38.255613485922,87.36960291048376,0.0,107.38656414767513,42.81017216313228,4.785782731357585,52.0908090595223,0,1.5951750104998794,9.40764807815404,0.0,15.060125762148786
1,8,-23.011636727869238,65.01171832891377,32.4796941145775,98.5217893064311,952.7965682560259,564.3948690579151,564.3948690579151,917.517944231478,240.94618933561833,1019.4606192932185,70.08856307304802,111.67319361772307,21.793874439071,122.2632688509719,22.461936074868504,1.9786971504739768,81.70994458450053,0,5.782047544578518,16.502300973617523,0.4991998260854942,20.46121785007871
1,9,-23.011636727869238,50.011718328913794,45.13620820556803,91.41785511650093,1014.6275377069295,775.3187153042967,775.3187153042967,1053.061199318127,567.7981607782946,1085.1930273632317,95.62941887044818,125.55057633618883,69.56341344240414,128.74215941892123,9.854197857833242,0.4645282191268052,30.287597967901206,0,11.535613572056718,21.812957617671216,5.688065351050938,23.184864411931215
1,10,-23.011636727869238,35.011718328913794,57.82281377653846,82.58722277314888,1047.5761148071722,944.6629860632165,944.6629860632165,1115.541427763304,856.8603276738851,1115.6212690262332,114.2849564116006,131.6760272142499,104.67050314724128,131.6837022255685,3.8780020308169014,4.520472293734201e-05,7.848384067945972,0,17.42494135293535,24.499766343951478,14.191168957590207,24.50327543810417
1,11,-23.011636727869238,20.011718328913794,70.13243133108254,67.9460786608582,1064.9660798910031,1060.5316463742392,1060.5316463742392,1111.606904944649,1051.659810518433,1128.475576755883,126.20920351404027,131.25534795394077,125.30496428637079,132.9153935514252,1.2431234906712234,0.44023004421160294,1.5540568885066932,0,22.091189689659274,24.30798653212048,21.70984122181892,25.07118719439842
1,12,-23.011636727869238,5.011718328913792,79.93194066029952,27.38403549746161,1072.0584313358122,1114.8938403735788,1114.8938403735788,1065.9362144638562,1128.99125696185,1132.662615926564,131.58540095893247,126.70578291020597,132.95853248678594,133.3151881373411,0.2955566258356157,1.5904088018833136,0.06423488064888261,0,24.458358765751598,22.302629882470242,25.09125060458223,25.257578092377884
1,13,-23.011636727869238,-9.988281671086208,77.35863040451358,-46.842703085188,1070.6848231176846,1103.9985794556324,1103.9985794556324,1081.4187144869584,1115.7066672900605,1131.9108922467365,130.51875134602176,128.25779982041556,131.66400089418147,133.24346151355294,0.47308708217542517,1.2001891157412956,0.29045716705559244,0,23.97481758626222,22.972793731554844,24.49426852303924,25.22406340099019
1,14,-23.011636727869238,-24.988281671086206,66.14301104875945,-74.01580943967862,1060.5040664121354,1028.5969653302539,1028.5969653302539,1119.5884273680003,999.7798500365066,1125.4893614660796,122.98703571138337,132.04594744522316,120.00654923171601,132.62983651940135,1.8780522986296546,0.19369683868785614,2.8185479754613425,0,20.753612113044042,24.6693148288806,19.56803305683033,24.93867408584981
1,15,-23.011636727869238,-39.988281671086206,53.626486913716164,-85.85280740929475,1038.7825188039003,893.8967446685759,893.8967446685759,1102.570898663587,769.1760284436604,1108.099105977977,108.8515841638958,130.42154233267172,94.66157518219856,130.95991589749207,5.363115210622595,0.05203900699530095,12.507450824238163,0,15.543123960217684,23.931098019251152,11.272025684520557,24.173958939424722
